defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level,year,month,month_name,quarter,supplier_quality_risk
DEF-00001,2024-11-01,BlueLine Services,Mexico City Plant,Machine Parts,Rejected,42,586,Medium,2024,11,November,Q4,High Risk
DEF-00002,2024-04-18,BlueLine Services,Mexico City Plant,Packaging,Impact,1721,352,Low,2024,4,April,Q2,High Risk
DEF-00003,2024-04-09,Global Parts Co,Detroit Plant,Machine Parts,Rejected,1809,258,High,2024,4,April,Q2,Normal Risk
DEF-00004,2024-02-07,Summit Packaging,Troy Plant,Hardware,Rejected,3779,562,Low,2024,2,February,Q1,High Risk
DEF-00005,2024-06-18,NexGen Maintenance,Detroit Plant,Packaging,Rejected,4757,498,Medium,2024,6,June,Q2,High Risk
DEF-00006,2024-06-11,Vertex Components,Toronto Plant,Hardware,No Impact,572,198,High,2024,6,June,Q2,Normal Risk
DEF-00007,2024-10-16,Omega Office Supplies,Atlanta Plant,Hardware,Rework,4786,156,Low,2024,10,October,Q4,High Risk
DEF-00008,2024-05-06,Prime Hardware,Toronto Plant,Hardware,No Impact,40,320,Low,2024,5,May,Q2,High Risk
DEF-00009,2024-08-24,Vertex Components,Atlanta Plant,Hardware,Rework,2717,491,High,2024,8,August,Q3,High Risk
DEF-00010,2024-11-26,Omega Office Supplies,Troy Plant,Hardware,Impact,892,179,High,2024,11,November,Q4,Normal Risk
DEF-00011,2024-11-16,Global Parts Co,Troy Plant,Raw Materials,Rejected,1610,269,High,2024,11,November,Q4,Normal Risk
DEF-00012,2024-10-29,Prime Hardware,Troy Plant,Machine Parts,No Impact,4743,414,High,2024,10,October,Q4,High Risk
DEF-00013,2024-11-30,Metro Logistics,Atlanta Plant,Corrugate,Impact,4422,483,High,2024,11,November,Q4,High Risk
DEF-00014,2024-08-25,Rapid Freight,Mexico City Plant,Raw Materials,Rework,2384,137,Medium,2024,8,August,Q3,Normal Risk
DEF-00015,2024-12-05,Prime Hardware,Mexico City Plant,Packaging,Impact,4114,10,Medium,2024,12,December,Q4,High Risk
DEF-00016,2024-10-16,Omega Office Supplies,Detroit Plant,Corrugate,No Impact,1305,183,Low,2024,10,October,Q4,Normal Risk
DEF-00017,2024-04-28,Global Parts Co,Atlanta Plant,Hardware,Impact,1793,499,Low,2024,4,April,Q2,High Risk
DEF-00018,2024-07-03,BlueLine Services,Toronto Plant,Corrugate,Rejected,1694,530,Low,2024,7,July,Q3,High Risk
DEF-00019,2024-12-26,Rapid Freight,Atlanta Plant,Hardware,Impact,2655,105,Medium,2024,12,December,Q4,Normal Risk
DEF-00020,2024-10-27,Global Parts Co,Mexico City Plant,Hardware,Rework,3101,374,Low,2024,10,October,Q4,High Risk
DEF-00021,2024-06-29,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,4231,415,High,2024,6,June,Q2,High Risk
DEF-00022,2024-03-25,Prime Hardware,Troy Plant,Machine Parts,No Impact,1139,450,Low,2024,3,March,Q1,High Risk
DEF-00023,2024-03-21,NexGen Maintenance,Mexico City Plant,Raw Materials,Impact,1231,191,Medium,2024,3,March,Q1,Normal Risk
DEF-00024,2024-09-03,Vertex Components,Toronto Plant,Packaging,Impact,2706,116,High,2024,9,September,Q3,Normal Risk
DEF-00025,2024-05-04,Alpha Industrial Supplies,Detroit Plant,Machine Parts,Impact,3367,22,Low,2024,5,May,Q2,High Risk
DEF-00026,2024-10-20,Metro Logistics,Troy Plant,Packaging,No Impact,4200,40,Low,2024,10,October,Q4,High Risk
DEF-00027,2024-11-02,Omega Office Supplies,Troy Plant,Hardware,Rejected,4233,415,Low,2024,11,November,Q4,High Risk
DEF-00028,2024-09-03,Metro Logistics,Detroit Plant,Corrugate,Impact,3680,482,High,2024,9,September,Q3,High Risk
DEF-00029,2024-05-15,Metro Logistics,Atlanta Plant,Corrugate,Rejected,1490,523,Low,2024,5,May,Q2,High Risk
DEF-00030,2024-03-08,Global Parts Co,Troy Plant,Packaging,Rework,3099,394,Low,2024,3,March,Q1,High Risk
DEF-00031,2024-03-31,Vertex Components,Mexico City Plant,Machine Parts,Rejected,4961,98,High,2024,3,March,Q1,High Risk
DEF-00032,2024-02-17,Vertex Components,Detroit Plant,Machine Parts,Rejected,4124,120,High,2024,2,February,Q1,High Risk
DEF-00033,2024-08-03,NexGen Maintenance,Troy Plant,Machine Parts,Rework,3535,534,Low,2024,8,August,Q3,High Risk
DEF-00034,2024-06-28,Omega Office Supplies,Mexico City Plant,Raw Materials,Rework,3950,390,Low,2024,6,June,Q2,High Risk
DEF-00035,2024-04-29,Global Parts Co,Atlanta Plant,Machine Parts,Rework,2086,488,Medium,2024,4,April,Q2,High Risk
DEF-00036,2024-12-29,Alpha Industrial Supplies,Mexico City Plant,Machine Parts,Rejected,1549,5,High,2024,12,December,Q4,Normal Risk
DEF-00037,2024-12-01,Prime Hardware,Atlanta Plant,Corrugate,No Impact,59,384,Low,2024,12,December,Q4,High Risk
DEF-00038,2024-11-29,Omega Office Supplies,Atlanta Plant,Hardware,Rework,1268,436,High,2024,11,November,Q4,High Risk
DEF-00039,2024-12-14,BlueLine Services,Detroit Plant,Corrugate,Rework,2996,282,Low,2024,12,December,Q4,Normal Risk
DEF-00040,2024-10-11,Vertex Components,Atlanta Plant,Hardware,No Impact,3033,572,High,2024,10,October,Q4,High Risk
DEF-00041,2024-12-03,Global Parts Co,Detroit Plant,Corrugate,Impact,3262,141,Low,2024,12,December,Q4,High Risk
DEF-00042,2024-07-24,NexGen Maintenance,Mexico City Plant,Machine Parts,Rejected,1757,520,Low,2024,7,July,Q3,High Risk
DEF-00043,2024-02-16,Metro Logistics,Toronto Plant,Machine Parts,Rework,3188,5,Low,2024,2,February,Q1,High Risk
DEF-00044,2024-04-23,NexGen Maintenance,Troy Plant,Machine Parts,Rejected,525,269,High,2024,4,April,Q2,Normal Risk
DEF-00045,2024-11-10,Rapid Freight,Atlanta Plant,Machine Parts,Rejected,3149,410,Low,2024,11,November,Q4,High Risk
DEF-00046,2024-01-06,Prime Hardware,Mexico City Plant,Hardware,Impact,4050,449,Low,2024,1,January,Q1,High Risk
DEF-00047,2024-09-21,Prime Hardware,Mexico City Plant,Packaging,Rejected,4912,522,Medium,2024,9,September,Q3,High Risk
DEF-00048,2024-03-21,Global Parts Co,Atlanta Plant,Corrugate,No Impact,1960,0,High,2024,3,March,Q1,Normal Risk
DEF-00049,2024-10-27,Prime Hardware,Mexico City Plant,Raw Materials,Rejected,3238,415,Low,2024,10,October,Q4,High Risk
DEF-00050,2024-10-13,Omega Office Supplies,Atlanta Plant,Hardware,No Impact,4503,291,Low,2024,10,October,Q4,High Risk
DEF-00051,2024-08-20,BlueLine Services,Mexico City Plant,Raw Materials,No Impact,4968,199,Low,2024,8,August,Q3,High Risk
DEF-00052,2024-02-24,Rapid Freight,Troy Plant,Machine Parts,No Impact,3336,518,Medium,2024,2,February,Q1,High Risk
DEF-00053,2024-05-11,Rapid Freight,Mexico City Plant,Hardware,Rework,959,525,Medium,2024,5,May,Q2,High Risk
DEF-00054,2024-05-04,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,4614,495,Medium,2024,5,May,Q2,High Risk
DEF-00055,2024-02-04,BlueLine Services,Detroit Plant,Packaging,No Impact,953,264,Medium,2024,2,February,Q1,Normal Risk
DEF-00056,2024-10-01,Alpha Industrial Supplies,Atlanta Plant,Packaging,No Impact,2893,528,Low,2024,10,October,Q4,High Risk
DEF-00057,2024-02-08,Rapid Freight,Detroit Plant,Corrugate,No Impact,3269,350,Medium,2024,2,February,Q1,High Risk
DEF-00058,2024-05-17,Metro Logistics,Detroit Plant,Corrugate,Impact,1791,587,Low,2024,5,May,Q2,High Risk
DEF-00059,2024-04-15,Prime Hardware,Detroit Plant,Packaging,No Impact,1983,271,Low,2024,4,April,Q2,Normal Risk
DEF-00060,2024-02-10,Vertex Components,Mexico City Plant,Raw Materials,Rejected,874,122,Medium,2024,2,February,Q1,Normal Risk
DEF-00061,2024-09-09,Omega Office Supplies,Atlanta Plant,Corrugate,Impact,3041,322,High,2024,9,September,Q3,High Risk
DEF-00062,2024-04-23,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,2296,407,Medium,2024,4,April,Q2,High Risk
DEF-00063,2024-09-14,NexGen Maintenance,Toronto Plant,Packaging,Rework,4430,33,Low,2024,9,September,Q3,High Risk
DEF-00064,2024-06-10,Alpha Industrial Supplies,Troy Plant,Packaging,Rework,4246,471,High,2024,6,June,Q2,High Risk
DEF-00065,2024-07-04,Omega Office Supplies,Atlanta Plant,Packaging,No Impact,826,333,Low,2024,7,July,Q3,High Risk
DEF-00066,2024-11-09,NexGen Maintenance,Atlanta Plant,Packaging,Rework,2207,482,Medium,2024,11,November,Q4,High Risk
DEF-00067,2024-12-24,NexGen Maintenance,Atlanta Plant,Corrugate,No Impact,1725,429,Medium,2024,12,December,Q4,High Risk
DEF-00068,2024-03-08,Omega Office Supplies,Detroit Plant,Raw Materials,No Impact,1474,585,Low,2024,3,March,Q1,High Risk
DEF-00069,2024-07-14,Prime Hardware,Detroit Plant,Packaging,Rework,4550,442,Low,2024,7,July,Q3,High Risk
DEF-00070,2024-09-12,Metro Logistics,Mexico City Plant,Machine Parts,No Impact,1447,431,Medium,2024,9,September,Q3,High Risk
DEF-00071,2024-10-14,Omega Office Supplies,Troy Plant,Corrugate,Rejected,2458,256,High,2024,10,October,Q4,Normal Risk
DEF-00072,2024-04-20,Summit Packaging,Toronto Plant,Raw Materials,Rework,1339,61,High,2024,4,April,Q2,Normal Risk
DEF-00073,2024-07-03,NexGen Maintenance,Mexico City Plant,Machine Parts,No Impact,2742,266,Medium,2024,7,July,Q3,Normal Risk
DEF-00074,2024-03-03,NexGen Maintenance,Mexico City Plant,Packaging,Impact,163,421,Medium,2024,3,March,Q1,High Risk
DEF-00075,2024-12-10,Rapid Freight,Toronto Plant,Corrugate,Rejected,2910,332,Medium,2024,12,December,Q4,High Risk
DEF-00076,2024-11-19,Metro Logistics,Detroit Plant,Hardware,Rework,2348,474,High,2024,11,November,Q4,High Risk
DEF-00077,2024-02-06,Global Parts Co,Detroit Plant,Hardware,Impact,4683,414,Medium,2024,2,February,Q1,High Risk
DEF-00078,2024-12-29,Summit Packaging,Mexico City Plant,Corrugate,No Impact,2596,298,Medium,2024,12,December,Q4,Normal Risk
DEF-00079,2024-08-18,BlueLine Services,Detroit Plant,Packaging,Rejected,2976,533,Low,2024,8,August,Q3,High Risk
DEF-00080,2024-12-24,Global Parts Co,Detroit Plant,Packaging,Rework,1923,257,Low,2024,12,December,Q4,Normal Risk
DEF-00081,2024-08-30,Rapid Freight,Troy Plant,Raw Materials,Rework,783,65,High,2024,8,August,Q3,Normal Risk
DEF-00082,2024-05-14,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,682,106,Medium,2024,5,May,Q2,Normal Risk
DEF-00083,2024-05-25,Vertex Components,Detroit Plant,Packaging,Impact,1879,253,Low,2024,5,May,Q2,Normal Risk
DEF-00084,2024-06-15,Vertex Components,Toronto Plant,Machine Parts,No Impact,288,365,High,2024,6,June,Q2,High Risk
DEF-00085,2024-12-23,Rapid Freight,Detroit Plant,Machine Parts,Rework,3645,138,High,2024,12,December,Q4,High Risk
DEF-00086,2024-09-25,Rapid Freight,Atlanta Plant,Hardware,Rework,4621,445,High,2024,9,September,Q3,High Risk
DEF-00087,2024-08-14,Summit Packaging,Atlanta Plant,Corrugate,No Impact,1861,91,Low,2024,8,August,Q3,Normal Risk
DEF-00088,2024-01-01,Rapid Freight,Detroit Plant,Hardware,No Impact,2487,10,Medium,2024,1,January,Q1,Normal Risk
DEF-00089,2024-12-18,Vertex Components,Toronto Plant,Hardware,Rejected,4384,8,Medium,2024,12,December,Q4,High Risk
DEF-00090,2024-01-04,Rapid Freight,Atlanta Plant,Packaging,Rework,2400,236,High,2024,1,January,Q1,Normal Risk
DEF-00091,2024-05-07,Metro Logistics,Toronto Plant,Corrugate,Impact,3581,404,Medium,2024,5,May,Q2,High Risk
DEF-00092,2024-11-16,Prime Hardware,Mexico City Plant,Machine Parts,No Impact,649,432,Medium,2024,11,November,Q4,High Risk
DEF-00093,2024-07-30,Prime Hardware,Troy Plant,Packaging,Impact,4358,275,Medium,2024,7,July,Q3,High Risk
DEF-00094,2024-11-12,Vertex Components,Atlanta Plant,Machine Parts,Rework,905,466,Low,2024,11,November,Q4,High Risk
DEF-00095,2024-03-18,Alpha Industrial Supplies,Mexico City Plant,Raw Materials,Impact,2627,19,Low,2024,3,March,Q1,Normal Risk
DEF-00096,2024-03-05,Vertex Components,Troy Plant,Packaging,Rejected,2312,275,Low,2024,3,March,Q1,Normal Risk
DEF-00097,2024-04-21,NexGen Maintenance,Toronto Plant,Hardware,Rework,121,505,Medium,2024,4,April,Q2,High Risk
DEF-00098,2024-06-18,Global Parts Co,Detroit Plant,Raw Materials,No Impact,3799,32,Medium,2024,6,June,Q2,High Risk
DEF-00099,2024-08-28,Metro Logistics,Detroit Plant,Hardware,Rework,585,556,Low,2024,8,August,Q3,High Risk
DEF-00100,2024-07-16,Vertex Components,Detroit Plant,Raw Materials,Impact,1000,254,Medium,2024,7,July,Q3,Normal Risk
DEF-00101,2024-12-06,Prime Hardware,Toronto Plant,Corrugate,No Impact,770,533,Medium,2024,12,December,Q4,High Risk
DEF-00102,2024-10-08,Rapid Freight,Troy Plant,Hardware,Rework,1300,43,High,2024,10,October,Q4,Normal Risk
DEF-00103,2024-07-03,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Impact,2448,203,High,2024,7,July,Q3,Normal Risk
DEF-00104,2024-01-08,Metro Logistics,Atlanta Plant,Machine Parts,Rejected,3557,332,Medium,2024,1,January,Q1,High Risk
DEF-00105,2024-01-22,Omega Office Supplies,Toronto Plant,Machine Parts,Impact,1992,9,Medium,2024,1,January,Q1,Normal Risk
DEF-00106,2024-03-21,Vertex Components,Troy Plant,Machine Parts,No Impact,734,254,High,2024,3,March,Q1,Normal Risk
DEF-00107,2024-07-01,Metro Logistics,Mexico City Plant,Raw Materials,Impact,492,61,Medium,2024,7,July,Q3,Normal Risk
DEF-00108,2024-10-12,NexGen Maintenance,Toronto Plant,Packaging,Rejected,1907,324,High,2024,10,October,Q4,High Risk
DEF-00109,2024-03-09,Summit Packaging,Troy Plant,Corrugate,Rework,3095,366,High,2024,3,March,Q1,High Risk
DEF-00110,2024-12-22,Vertex Components,Detroit Plant,Machine Parts,Impact,2415,555,High,2024,12,December,Q4,High Risk
DEF-00111,2024-08-27,Summit Packaging,Mexico City Plant,Machine Parts,Impact,2849,331,Low,2024,8,August,Q3,High Risk
DEF-00112,2024-08-18,Summit Packaging,Atlanta Plant,Machine Parts,No Impact,4352,158,Medium,2024,8,August,Q3,High Risk
DEF-00113,2024-07-13,Metro Logistics,Troy Plant,Machine Parts,No Impact,6,518,High,2024,7,July,Q3,High Risk
DEF-00114,2024-02-02,Rapid Freight,Toronto Plant,Packaging,Rework,1957,328,High,2024,2,February,Q1,High Risk
DEF-00115,2024-06-14,BlueLine Services,Atlanta Plant,Raw Materials,Rejected,1263,289,High,2024,6,June,Q2,Normal Risk
DEF-00116,2024-03-07,Metro Logistics,Troy Plant,Packaging,Rejected,547,44,Medium,2024,3,March,Q1,Normal Risk
DEF-00117,2024-01-17,Omega Office Supplies,Toronto Plant,Corrugate,No Impact,1570,101,Low,2024,1,January,Q1,Normal Risk
DEF-00118,2024-11-06,Global Parts Co,Troy Plant,Packaging,Rework,3002,226,Low,2024,11,November,Q4,High Risk
DEF-00119,2024-07-03,Rapid Freight,Toronto Plant,Hardware,Rejected,3835,62,High,2024,7,July,Q3,High Risk
DEF-00120,2024-01-21,Global Parts Co,Atlanta Plant,Raw Materials,Impact,2178,541,High,2024,1,January,Q1,High Risk
DEF-00121,2024-04-28,Rapid Freight,Toronto Plant,Packaging,Impact,796,103,High,2024,4,April,Q2,Normal Risk
DEF-00122,2024-11-16,Metro Logistics,Mexico City Plant,Machine Parts,Rework,2038,583,High,2024,11,November,Q4,High Risk
DEF-00123,2024-07-02,Vertex Components,Toronto Plant,Raw Materials,Impact,865,590,Low,2024,7,July,Q3,High Risk
DEF-00124,2024-09-15,NexGen Maintenance,Detroit Plant,Machine Parts,Rework,4506,411,Medium,2024,9,September,Q3,High Risk
DEF-00125,2024-06-15,NexGen Maintenance,Toronto Plant,Corrugate,No Impact,2582,563,High,2024,6,June,Q2,High Risk
DEF-00126,2024-10-06,Prime Hardware,Toronto Plant,Machine Parts,No Impact,1972,576,Medium,2024,10,October,Q4,High Risk
DEF-00127,2024-07-22,Alpha Industrial Supplies,Troy Plant,Hardware,Rejected,3707,458,High,2024,7,July,Q3,High Risk
DEF-00128,2024-01-04,Summit Packaging,Detroit Plant,Packaging,No Impact,1107,309,Low,2024,1,January,Q1,High Risk
DEF-00129,2024-09-18,Rapid Freight,Mexico City Plant,Machine Parts,Impact,2261,566,Low,2024,9,September,Q3,High Risk
DEF-00130,2024-07-01,Metro Logistics,Detroit Plant,Hardware,No Impact,310,471,High,2024,7,July,Q3,High Risk
DEF-00131,2024-05-11,Summit Packaging,Troy Plant,Machine Parts,Rework,2047,238,High,2024,5,May,Q2,Normal Risk
DEF-00132,2024-06-15,Vertex Components,Detroit Plant,Corrugate,Rejected,1782,79,High,2024,6,June,Q2,Normal Risk
DEF-00133,2024-10-22,BlueLine Services,Troy Plant,Raw Materials,No Impact,2461,38,Medium,2024,10,October,Q4,Normal Risk
DEF-00134,2024-03-02,Prime Hardware,Mexico City Plant,Raw Materials,Rework,3558,426,Low,2024,3,March,Q1,High Risk
DEF-00135,2024-01-22,NexGen Maintenance,Mexico City Plant,Machine Parts,Impact,2497,536,Medium,2024,1,January,Q1,High Risk
DEF-00136,2024-03-19,Alpha Industrial Supplies,Toronto Plant,Corrugate,Rejected,4116,226,Low,2024,3,March,Q1,High Risk
DEF-00137,2024-07-20,Metro Logistics,Detroit Plant,Hardware,Rejected,3539,296,Medium,2024,7,July,Q3,High Risk
DEF-00138,2024-10-07,BlueLine Services,Atlanta Plant,Raw Materials,Rework,4682,50,High,2024,10,October,Q4,High Risk
DEF-00139,2024-03-10,Vertex Components,Mexico City Plant,Packaging,Rework,3560,133,Medium,2024,3,March,Q1,High Risk
DEF-00140,2024-10-14,Omega Office Supplies,Mexico City Plant,Packaging,Impact,4681,200,Low,2024,10,October,Q4,High Risk
DEF-00141,2024-06-14,Omega Office Supplies,Troy Plant,Raw Materials,Rework,2182,440,Medium,2024,6,June,Q2,High Risk
DEF-00142,2024-04-07,NexGen Maintenance,Atlanta Plant,Machine Parts,Rejected,2993,356,Medium,2024,4,April,Q2,High Risk
DEF-00143,2024-11-11,Vertex Components,Mexico City Plant,Packaging,Rework,1387,358,Low,2024,11,November,Q4,High Risk
DEF-00144,2024-12-16,NexGen Maintenance,Detroit Plant,Raw Materials,Rejected,1913,204,High,2024,12,December,Q4,Normal Risk
DEF-00145,2024-11-13,Metro Logistics,Atlanta Plant,Raw Materials,No Impact,447,248,High,2024,11,November,Q4,Normal Risk
DEF-00146,2024-08-18,Vertex Components,Troy Plant,Hardware,Impact,912,312,High,2024,8,August,Q3,High Risk
DEF-00147,2024-04-14,Rapid Freight,Mexico City Plant,Hardware,Rework,4408,216,High,2024,4,April,Q2,High Risk
DEF-00148,2024-07-11,Omega Office Supplies,Mexico City Plant,Raw Materials,No Impact,1158,18,Low,2024,7,July,Q3,Normal Risk
DEF-00149,2024-04-12,Omega Office Supplies,Atlanta Plant,Raw Materials,Rework,493,290,High,2024,4,April,Q2,Normal Risk
